FULL NAME,TEAM,POS,AGE,GP,MPG,FTA,FT%,2PA,2P%,3PA,3P%,TrueSP,PointsPG,ReboundsPG,AssistsPG,StealsPG,BlocksPG,TurnOversPG
Naz Reid,Min,C-F,21.72,70,19.2,166,0.693,407,0.597,174,0.351,0.599,11.2,4.6,1,0.49,1.07,0.99
Lonnie Walker IV,San,G-F,22.42,60,25.4,70,0.814,327,0.477,282,0.355,0.523,11.2,2.6,1.7,0.48,0.25,1.08
Ignas Brazdeikis,Orl,F,22.35,8,29.2,12,0.667,52,0.462,27,0.407,0.528,11.1,5.1,2,0.5,0.38,1.38
Terence Davis,Sac,G,24,27,21.5,37,0.784,101,0.535,145,0.372,0.57,11.1,3.3,1.7,1.04,0.26,1.26
Serge Ibaka,Lac,F,31.66,41,23.3,53,0.811,250,0.588,115,0.339,0.585,11.1,6.7,1.8,0.22,1.15,1.07
Nickeil Alexander-Walker,Nor,G,22.7,46,21.9,66,0.727,239,0.485,219,0.347,0.522,11,3.1,2.2,1.02,0.48,1.5
Jeff Green,Bro,F,34.72,68,27,161,0.776,280,0.564,250,0.412,0.624,11,3.9,1.6,0.53,0.4,0.79
Moritz Wagner,Orl,F-C,24.06,11,26,33,0.879,50,0.44,43,0.372,0.563,11,4.9,1.1,0.36,0.82,1.18
Dwayne Bacon,Orl,G-F,25.71,72,25.7,176,0.824,519,0.449,207,0.285,0.49,10.9,3.1,1.3,0.61,0.07,0.63
Oshae Brissett,Ind,F-G,22.91,21,24.7,65,0.769,73,0.548,78,0.423,0.638,10.9,5.5,0.9,0.9,0.95,0.48
Reggie Bullock,Nyk,G-F,30.17,65,30,55,0.909,163,0.521,398,0.41,0.606,10.9,3.4,1.5,0.8,0.17,0.69
Wendell Carter Jr.,Chi,C-F,22.09,32,24.7,111,0.739,230,0.526,22,0.364,0.578,10.9,7.8,2.2,0.56,0.75,1.53
Patty Mills,San,G,32.76,68,24.8,78,0.91,182,0.5,430,0.374,0.569,10.8,1.7,2.4,0.6,0.04,0.96
